City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,west island,-12.1568,96.8225,25.99,78,20,8.23,CC,2024-08-06 22:59:14
1,tiksi,71.6872,128.8694,10.69,83,100,2.94,RU,2024-08-06 22:59:14
2,margaret river,-33.95,115.0667,15.24,70,61,11.23,AU,2024-08-06 22:59:15
3,camana,-16.6228,-72.7111,15.78,90,48,4.75,PE,2024-08-06 22:59:15
4,flying fish cove,-10.4217,105.6791,23.82,94,100,4.63,CX,2024-08-06 22:59:15
5,karratha,-20.7377,116.8463,17.78,50,2,2.54,AU,2024-08-06 22:59:15
6,douz,33.4663,9.0203,28.58,42,0,5.13,TN,2024-08-06 22:59:15
7,port-aux-francais,-49.35,70.2167,2.48,82,62,5.38,TF,2024-08-06 22:59:15
8,illapel,-31.6308,-71.1653,7.75,95,99,2.19,CL,2024-08-06 22:56:14
9,edinburgh of the seven seas,-37.0676,-12.3116,10.03,60,84,8.45,SH,2024-08-06 22:59:16
10,tainan,22.9908,120.2133,27.71,83,40,2.06,TW,2024-08-06 22:55:01
11,nantucket,41.2835,-70.0995,21.03,94,75,4.63,US,2024-08-06 22:56:15
12,punta arenas,-53.15,-70.9167,-0.94,93,75,3.09,CL,2024-08-06 22:55:38
13,tyuratam,45.6507,63.3156,29.56,30,15,3.46,KZ,2024-08-06 22:59:16
14,yellowknife,62.456,-114.3525,20.29,50,20,4.12,CA,2024-08-06 22:59:16
15,puerto natales,-51.7236,-72.4875,-1.75,93,75,0.0,CL,2024-08-06 22:59:16
16,igarka,67.4667,86.5833,7.97,70,16,7.65,RU,2024-08-06 22:59:17
17,olonkinbyen,70.9221,-8.7187,6.03,99,100,4.71,SJ,2024-08-06 22:59:17
18,al muwayh,22.4333,41.7583,27.14,48,100,5.36,SA,2024-08-06 22:59:17
19,konstantinovka,49.6167,127.9833,23.36,71,1,1.65,RU,2024-08-06 22:59:17
20,vorgashor,67.5833,63.95,4.06,78,7,3.47,RU,2024-08-06 22:59:17
21,mongo,12.1844,18.693,24.16,87,100,2.52,TD,2024-08-06 22:59:17
22,ulsteinvik,62.3432,5.8487,17.95,94,100,0.45,NO,2024-08-06 22:59:17
23,jamestown,42.097,-79.2353,19.8,100,100,4.63,US,2024-08-06 22:49:39
24,georgetown,5.4112,100.3354,26.96,83,20,2.57,MY,2024-08-06 22:57:45
25,guerrero negro,27.9769,-114.0611,29.41,49,72,5.27,MX,2024-08-06 22:59:18
26,ribeira grande,38.5167,-28.7,24.32,84,10,3.13,PT,2024-08-06 22:59:18
27,howard springs,-12.497,131.047,24.37,86,14,4.17,AU,2024-08-06 22:59:18
28,bethel,41.3712,-73.414,23.26,81,77,1.34,US,2024-08-06 22:59:18
29,iguape,-24.7081,-47.5553,18.82,91,13,1.94,BR,2024-08-06 22:59:19
30,lihue,21.9789,-159.3672,28.53,69,75,6.69,US,2024-08-06 22:59:19
31,bilibino,68.0546,166.4372,8.4,52,14,1.26,RU,2024-08-06 22:59:19
32,road town,18.4167,-64.6167,30.02,70,40,4.63,VG,2024-08-06 22:56:07
33,djibouti,11.5,42.5,28.97,55,20,1.76,DJ,2024-08-06 22:59:19
34,miquelon,47.0975,-56.3814,17.0,82,100,10.69,PM,2024-08-06 22:59:19
35,talara,-4.5772,-81.2719,22.42,73,0,10.29,PE,2024-08-06 22:59:20
36,chibougamau,49.9168,-74.3659,17.79,45,75,5.14,CA,2024-08-06 22:59:20
37,avarua,-21.2078,-159.775,25.03,83,20,1.54,CK,2024-08-06 22:59:20
38,invercargill,-46.4,168.35,9.45,77,92,3.13,NZ,2024-08-06 22:47:42
39,kamin-kashyrskyi,51.6241,24.9586,17.14,81,55,1.47,UA,2024-08-06 22:59:20
40,longyearbyen,78.2186,15.6401,8.91,93,75,0.51,SJ,2024-08-06 22:59:20
41,waitangi,-43.9535,-176.5597,9.9,86,0,1.79,NZ,2024-08-06 22:59:20
42,kudahuvadhoo,2.6708,72.8944,27.77,76,100,2.33,MV,2024-08-06 22:59:21
43,grytviken,-54.2811,-36.5092,-8.62,72,25,3.48,GS,2024-08-06 22:59:21
44,ust-nera,64.5667,143.2,10.28,87,100,2.09,RU,2024-08-06 22:59:21
45,blackmans bay,-43.0167,147.3167,12.51,67,98,1.79,AU,2024-08-06 22:59:21
46,cheria,35.2731,7.7519,25.12,31,0,2.12,DZ,2024-08-06 22:59:21
47,port alfred,-33.5906,26.891,14.06,72,0,3.54,ZA,2024-08-06 22:59:21
48,lebu,-37.6167,-73.65,7.04,77,42,2.16,CL,2024-08-06 22:59:22
49,benemerito de las americas,16.5167,-90.6439,33.13,53,38,1.11,MX,2024-08-06 22:59:22
50,chonchi,-42.6128,-73.8092,7.56,93,99,0.64,CL,2024-08-06 22:59:22
51,lahaina,20.8783,-156.6825,29.97,81,3,4.07,US,2024-08-06 22:59:22
52,brisas de zicatela,15.8369,-97.0419,31.29,84,75,4.12,MX,2024-08-06 22:59:22
53,kerikeri,-35.2268,173.9474,12.91,65,26,1.15,NZ,2024-08-06 22:59:22
54,ushuaia,-54.8,-68.3,-2.19,74,0,2.06,AR,2024-08-06 22:55:50
55,chernyshevskiy,63.0128,112.4714,12.11,64,90,2.37,RU,2024-08-06 22:59:23
56,wainwright,52.839,-110.8572,18.83,48,99,3.98,CA,2024-08-06 22:59:23
57,adamstown,-25.066,-130.1015,18.88,64,37,4.58,PN,2024-08-06 22:59:23
58,qamdo,31.1667,97.2333,7.48,80,100,1.45,CN,2024-08-06 22:59:23
59,shihezi,44.3,86.0333,26.81,33,100,4.68,CN,2024-08-06 22:59:23
60,dudinka,69.4058,86.1778,7.18,71,0,8.91,RU,2024-08-06 22:59:23
61,badger,64.8,-147.5333,26.95,39,75,2.06,US,2024-08-06 22:59:24
62,cam ranh,11.9214,109.1591,25.98,83,20,0.51,VN,2024-08-06 22:59:24
63,isafjordur,66.0755,-23.124,6.56,95,100,2.26,IS,2024-08-06 22:59:24
64,dawei,14.0833,98.2,24.36,92,100,1.18,MM,2024-08-06 22:59:24
65,alofi,-19.0595,-169.9187,24.94,61,6,4.63,NU,2024-08-06 22:59:24
66,praia da vitoria,38.7333,-27.0667,24.14,83,40,3.31,PT,2024-08-06 22:59:24
67,dakhla,23.6848,-15.958,21.01,88,4,11.32,EH,2024-08-06 22:59:24
68,nizhniy kuranakh,58.8353,125.4869,13.99,92,100,1.29,RU,2024-08-06 22:59:25
69,hermanus,-34.4187,19.2345,8.78,84,0,1.46,ZA,2024-08-06 22:59:25
70,bonito,-21.1211,-56.4819,24.82,28,19,2.01,BR,2024-08-06 22:58:25
71,st. john's,47.5649,-52.7093,18.77,87,75,7.2,CA,2024-08-06 22:59:25
72,tolanaro,-25.0319,46.9987,22.04,83,75,5.14,MG,2024-08-06 22:59:25
73,albany,42.6001,-73.9662,19.77,97,94,2.14,US,2024-08-06 22:58:31
74,srbac,45.0978,17.525,18.07,56,0,1.08,BA,2024-08-06 22:59:26
75,port saint john's,-31.6229,29.5448,14.32,68,0,1.96,ZA,2024-08-06 22:59:26
76,mermoz boabab,14.7065,-17.4758,27.88,83,75,2.06,SN,2024-08-06 22:59:26
77,plastun,44.7561,136.2939,24.58,82,2,1.16,RU,2024-08-06 22:59:26
78,fale old settlement,-9.3852,-171.2468,28.15,76,67,7.07,TK,2024-08-06 22:59:26
79,zemio,5.0314,25.1361,21.99,91,100,0.15,CF,2024-08-06 22:59:26
80,papatowai,-46.5619,169.4708,10.78,56,65,2.65,NZ,2024-08-06 22:59:26
81,port hedland,-20.3167,118.5667,14.03,67,5,4.12,AU,2024-08-06 22:59:27
82,san patricio,28.017,-97.5169,34.05,48,31,6.06,US,2024-08-06 22:59:27
83,kailua-kona,19.6406,-155.9956,27.98,84,75,4.12,US,2024-08-06 22:59:27
84,muynoq,43.7683,59.0214,30.17,21,6,5.11,UZ,2024-08-06 22:59:27
85,saint-marc,19.1082,-72.6938,29.31,76,61,2.63,HT,2024-08-06 22:59:27
86,conduaga,8.862,117.4893,26.22,88,100,1.89,PH,2024-08-06 22:59:27
87,maha sarakham,16.3333,103.6667,27.73,89,100,2.54,TH,2024-08-06 22:59:27
88,saint-denis,48.9167,2.3333,21.79,82,0,4.63,FR,2024-08-06 22:59:28
89,labrador city,52.9463,-66.9114,11.95,62,40,4.63,CA,2024-08-06 22:59:28
90,cockburn town,21.4612,-71.1419,28.08,85,75,7.63,TC,2024-08-06 22:59:28
91,bredasdorp,-34.5322,20.0403,9.08,91,0,1.28,ZA,2024-08-06 22:59:28
92,mount gambier,-37.8333,140.7667,8.59,95,95,3.19,AU,2024-08-06 22:59:28
93,flores,16.9226,-89.8994,33.06,56,63,0.41,GT,2024-08-06 22:55:24
94,mahanoro,-19.9,48.8,20.82,83,61,1.22,MG,2024-08-06 22:59:29
95,gowurdak,37.8124,66.0466,27.93,20,0,0.72,TM,2024-08-06 22:59:29
96,ujae,8.9322,165.7642,28.61,75,100,4.04,MH,2024-08-06 22:59:29
97,rongelap,11.1635,166.8941,28.57,77,94,5.19,MH,2024-08-06 22:59:29
98,pacific grove,36.6177,-121.9166,28.64,81,0,3.09,US,2024-08-06 22:59:29
99,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,100,75,1.0,RU,2024-08-06 22:59:29
100,santa terezinha,-29.9002,-50.0904,16.47,98,100,7.36,BR,2024-08-06 22:59:30
101,hasaki,35.7333,140.8333,29.22,86,23,4.54,JP,2024-08-06 22:59:30
102,bikenibeu village,1.3673,173.1241,30.98,70,20,2.06,KI,2024-08-06 22:59:30
103,papao,-17.75,-149.55,28.82,79,0,10.34,PF,2024-08-06 22:59:30
104,la passe,45.5549,-0.8967,21.34,93,97,4.05,FR,2024-08-06 22:59:30
